TAG,ATTRIBUTE,CONCUR,COUNTER,DENY,ENDORSE,ENTERTAIN,JUSTIFY,MONOGLOSS,PRONOUNCE,
punct,131,2,0,2,48,150,2,670,2,1007
nsubj,92,1,0,0,27,122,0,406,2,650
prep,56,0,1,0,8,31,8,240,0,344
dobj,39,0,0,0,13,10,0,182,0,244
ccomp,65,2,0,0,24,69,0,65,0,225
advmod,25,1,9,5,10,30,0,122,0,202
aux,17,1,0,0,6,33,0,86,0,143
cc,14,1,0,0,3,13,0,88,0,119
advcl,15,0,0,0,4,25,0,75,0,119
conj,14,0,0,2,2,5,0,95,0,118
auxpass,18,0,0,0,12,3,0,78,0,111
nsubjpass,18,0,0,0,11,3,0,78,0,110
xcomp,8,0,0,0,4,45,0,51,0,108
acomp,0,0,0,0,0,2,0,69,1,72
attr,0,0,0,0,0,0,0,68,1,69
pobj,1,2,5,0,0,8,15,0,1,32
dep,3,0,0,0,2,3,2,15,0,25
mark,4,0,0,0,2,11,0,8,0,25
npadvmod,3,0,0,0,1,2,0,14,0,20
pcomp,0,0,3,0,0,2,15,0,0,20
expl,0,0,0,0,0,1,0,16,0,17
agent,5,0,0,0,3,0,0,7,0,15
csubj,0,0,0,0,1,0,0,8,0,9
prt,0,0,0,0,0,0,0,9,0,9
det,3,0,0,0,0,1,0,2,3,9
dative,1,0,0,0,0,0,0,7,0,8
parataxis,1,0,0,0,2,0,0,4,0,7
oprd,1,0,0,0,0,3,0,3,0,7
neg,1,0,0,0,1,4,0,0,0,6
acl,2,0,0,0,0,1,0,0,3,6
amod,0,0,0,0,0,0,1,4,0,5
relcl,1,0,0,0,0,0,0,2,0,3
poss,3,0,0,0,0,0,0,0,0,3
preconj,0,0,0,0,0,1,0,1,0,2
intj,0,0,0,0,0,0,0,2,0,2
nmod,0,0,0,0,0,0,0,1,0,1
appos,0,0,0,0,0,0,0,1,0,1
case,1,0,0,0,0,0,0,0,0,1
