TAG,ATTRIBUTE,CONCUR,COUNTER,DENY,ENDORSE,ENTERTAIN,JUSTIFY,MONOGLOSS,PRONOUNCE
,8,13,165,152,3,398,102,9,20
advmod,0,0,8,5,0,2,0,0,0
punct-conj-punct-conj,0,0,0,1,0,0,0,0,0
nsubj-aux-advmod-ccomp-punct,0,1,0,0,0,1,0,0,0
pobj,1,2,5,0,0,8,3,0,1
cc-ccomp-punct,0,1,0,0,0,0,0,0,0
nsubj-dative-dobj-punct,0,0,0,0,0,0,0,2,0
nsubj-aux-attr-prep-punct,0,0,0,0,0,0,0,1,0
nsubjpass-aux-auxpass-prep-punct,1,0,0,0,0,0,0,2,0
nsubj-dobj-prep-punct,1,0,0,0,0,0,0,8,0
prep-punct-nsubj-attr-punct,0,0,0,0,0,0,0,3,0
csubj-aux-advmod-acomp-prep-punct,0,0,0,0,0,0,0,1,0
nsubj-dobj-advmod-cc-conj,0,0,0,0,0,0,0,1,0
acomp-nsubj-punct,0,0,0,0,0,0,0,1,0
nsubj-dobj-dative-punct,0,0,0,0,0,0,0,2,0
nsubj-dobj-punct,3,0,0,0,4,0,0,30,0
nsubj-advmod-attr-punct,0,0,0,0,0,0,0,2,0
preconj-nsubj-ccomp-punct-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-dobj-prep,1,0,0,0,0,0,0,1,0
prep-punct,1,0,0,0,0,0,0,2,0
nsubj-acomp-punct,0,0,0,0,0,1,0,10,0
csubj-dobj-punct,0,0,0,0,0,0,0,1,0
nmod,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-acomp-punct,0,0,0,0,0,0,0,4,0
advmod-punct-nsubj-aux-ccomp-punct,0,0,0,0,0,1,0,1,0
nsubjpass-punct-nsubjpass-auxpass-agent-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-advmod-dobj-prep-punct-cc-conj-punct,0,0,0,0,0,0,0,1,0
nsubj-xcomp-punct,1,0,0,0,0,7,0,9,0
nsubj-dobj-cc-conj,1,0,0,0,0,0,0,1,0
advmod-punct-nsubj-acomp-punct,0,0,0,0,0,0,0,2,0
nsubj-attr-punct,0,0,0,0,0,0,0,20,1
nsubjpass-aux-auxpass-advmod-punct,0,0,0,0,0,0,0,1,0
advmod-punct-nsubjpass-auxpass-agent-punct,0,0,0,0,0,0,0,1,0
nsubj-acomp-prep-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-xcomp-punct-cc-conj,0,0,0,0,0,0,0,1,0
advmod-nsubj-aux-prep-punct,0,0,0,0,0,0,0,1,0
advcl-nsubj-xcomp-cc-conj-punct,0,0,0,0,0,0,0,1,0
acomp-punct-conj,0,0,0,0,0,0,0,1,0
advmod-cc-conj,0,0,0,0,0,0,0,1,0
dobj-advmod,0,0,0,0,0,0,0,1,0
expl-aux-advmod-attr-punct,0,0,0,0,0,0,0,1,0
advcl-nsubj-acomp-punct-advcl-punct,0,0,0,0,0,0,0,2,0
advcl-punct-nsubj-dobj-advcl-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-dobj-punct,1,0,0,0,0,0,0,4,0
nsubj-prep-punct,0,0,0,0,0,3,0,22,0
prep-punct-nsubj-prep-punct,0,0,0,0,0,0,0,2,0
nsubj-aux-dobj-prep-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-prep-cc-conj,0,0,0,0,0,0,0,1,0
advcl-punct-nsubj-ccomp-punct,1,0,0,0,1,4,0,1,0
nsubj-acomp-advmod-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-acomp-punct,0,0,0,0,0,0,0,1,0
intj-prep-nsubj-dobj-punct,0,0,0,0,0,0,0,1,0
prep-nsubj-punct-dobj-punct,0,0,0,0,0,0,0,1,0
csubj-acomp-punct,0,0,0,0,0,0,0,1,0
advcl-punct-dep-dep-dep-dep-nsubj-xcomp-cc-conj,0,0,0,0,0,0,0,1,0
prep-nsubj-dobj-punct,2,0,0,0,0,0,0,2,0
prep-punct-nsubj-acomp-punct-cc-conj,0,0,0,0,0,0,0,2,0
nsubj-aux-aux-advmod-advmod-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-aux-prep-prep-punct,0,0,0,0,0,0,0,1,0
nsubj-ccomp-punct,13,0,0,0,8,16,0,11,0
punct-prep-dobj-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-aux-dobj,0,0,0,0,0,0,0,2,0
aux-dobj,2,0,0,0,0,0,0,3,0
prep-punct-nsubjpass-auxpass-prt-punct,0,0,0,0,0,0,0,1,0
advcl-advmod-nsubj-advcl-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-advmod-dobj-prep-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-dobj-cc-conj-punct,0,0,0,0,0,0,0,2,0
advmod-nsubj-aux-xcomp-cc-conj,0,0,0,0,0,0,0,1,0
aux-ccomp,0,0,0,0,0,2,0,3,0
prep-punct-nsubjpass-auxpass-xcomp-punct,0,0,0,0,0,0,0,1,0
npadvmod-punct-nsubj-prep-punct,0,0,0,0,0,0,0,1,0
