TAG,ATTRIBUTE,CONCUR,COUNTER,DENY,ENDORSE,ENTERTAIN,JUSTIFY,MONOGLOSS,PRONOUNCE
neg,0,1,0,133,0,0,0,0,1
det,1,0,0,17,0,0,0,0,0
preconj,0,0,6,5,0,0,0,0,0
nummod,0,0,0,1,0,0,0,0,0
conj,9,0,0,2,4,9,0,54,2
mark,5,5,25,0,1,56,55,0,0
advmod,0,5,78,0,0,65,41,0,13
ROOT,84,2,0,0,34,89,2,440,0
nsubj,3,2,0,0,0,0,0,0,1
prep,13,2,8,0,0,10,19,1,1
acl,4,0,0,0,2,2,0,3,0
nmod,0,0,0,0,0,0,0,1,0
ccomp,6,0,0,0,2,17,0,31,0
advcl,9,0,0,0,1,6,1,11,0
xcomp,2,0,0,0,0,3,0,4,0
acomp,0,0,0,0,0,11,5,4,0
parataxis,1,0,0,0,0,0,0,2,0
auxpass,0,0,0,0,0,0,0,3,0
aux,0,0,0,0,2,267,0,3,4
relcl,10,0,0,0,0,5,0,1,0
amod,0,0,0,0,0,2,5,1,1
pcomp,1,0,0,0,1,0,0,1,0
cc,0,0,65,0,0,3,0,0,0
dep,0,0,0,0,0,1,1,0,0
npadvmod,0,0,0,0,0,0,1,0,0
nsubjpass,1,0,0,0,0,0,0,0,0
dobj,2,0,0,0,0,1,0,0,1
pobj,1,0,0,0,0,0,0,0,2
poss,2,0,0,0,0,0,0,0,0
compound,1,0,0,0,0,0,0,0,0
csubj,0,0,0,0,1,0,0,0,0
attr,0,0,0,0,0,2,0,0,0
