TAG,ATTRIBUTE,CONCUR,COUNTER,DENY,ENDORSE,ENTERTAIN,JUSTIFY,MONOGLOSS,PRONOUNCE
conj,1,0,4,25,0,51,12,6,2
ccomp,5,0,14,22,0,48,5,3,2
ROOT,122,11,90,61,42,301,50,536,14
attr,1,0,1,9,0,5,0,0,1
relcl,1,0,1,9,1,30,0,1,0
advcl,5,5,34,7,3,88,55,6,0
pobj,5,0,1,5,1,1,1,1,0
advmod,0,1,1,4,0,5,0,0,2
xcomp,1,0,1,1,0,1,0,1,0
prep,2,0,11,1,1,2,6,1,2
dep,0,0,0,2,0,0,0,0,0
acl,0,0,0,3,0,2,0,1,2
dobj,5,0,4,3,0,0,0,1,0
parataxis,0,0,0,1,0,2,0,0,1
oprd,0,0,1,1,0,0,0,0,0
nsubj,4,0,1,2,0,4,1,0,0
amod,0,0,3,2,0,2,0,1,0
pcomp,0,0,1,0,0,1,0,2,0
nummod,0,0,1,0,0,0,0,0,0
cc,0,0,8,0,0,1,0,0,0
acomp,0,0,3,0,0,2,0,0,0
appos,0,0,1,0,0,0,0,0,0
csubj,0,0,1,0,0,3,0,0,0
nsubjpass,2,0,0,0,0,0,0,0,0
poss,1,0,0,0,0,0,0,0,0
